,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Hamilton,90,CA,1558555746,47,43.26,-79.87,66.0,18.34
1,Van,75,TR,1558556228,82,38.51,43.37,55.4,5.82
2,Geraldton,90,CA,1558556230,93,49.72,-86.95,46.4,8.05
3,Cape Town,0,ZA,1558556100,93,-33.93,18.42,60.01,3.36
4,Mataura,8,NZ,1558556232,80,-46.19,168.86,53.01,1.99
5,Tarko-Sale,100,RU,1558556234,85,64.92,77.78,25.0,1.01
6,Katsuura,20,JP,1558556235,67,33.93,134.5,59.0,6.93
7,Tilichiki,100,RU,1558556236,63,60.47,166.1,42.55,6.46
8,Albany,75,US,1558556238,28,42.65,-73.75,72.0,4.74
9,Jaypur,0,IN,1558556239,58,23.05,87.44,88.81,8.68
10,Kapaa,75,US,1558556061,69,22.08,-159.32,82.4,11.41
11,Busselton,100,AU,1558556241,66,-33.64,115.35,48.99,14.27
12,Chokurdakh,86,RU,1558556243,83,70.62,147.9,20.23,18.32
13,Lyuban,100,BY,1558556244,76,52.8,28.0,58.93,3.91
14,Umm Kaddadah,96,SD,1558556245,6,13.6,26.69,82.33,8.39
15,Petropavlovsk-Kamchatskiy,90,RU,1558556247,100,53.05,158.65,39.2,4.47
16,Omboue,77,GA,1558556248,82,-1.57,9.26,80.17,9.26
17,Ponta do Sol,10,BR,1558556249,83,-20.63,-46.0,64.87,4.18
18,Hermanus,50,ZA,1558556251,95,-34.42,19.24,57.99,3.09
19,Marsh Harbour,11,BS,1558556252,71,26.54,-77.06,78.55,15.03
20,Bambous Virieux,75,MU,1558556253,83,-20.34,57.76,75.2,3.36
21,Kodiak,1,US,1558556254,58,39.95,-94.76,73.99,11.41
22,Thornaby,0,GB,1558556256,54,54.54,-1.29,57.99,8.05
23,Bluff,0,AU,1558556257,79,-23.58,149.07,59.11,10.4
24,Makakilo City,75,US,1558556258,65,21.35,-158.09,84.0,6.93
25,Westport,75,IE,1558556138,71,53.8,-9.52,55.99,5.82
26,Hanna,98,CA,1558556261,28,51.64,-111.93,75.0,5.01
27,Carutapera,28,BR,1558556262,88,-1.2,-46.02,79.27,5.21
28,Kimbe,4,PG,1558556264,86,-5.56,150.15,76.39,3.6
29,Kargasok,0,RU,1558556265,83,59.06,80.87,31.75,4.72
30,Kaeo,40,NZ,1558556266,100,-35.1,173.78,48.99,2.59
31,Ushuaia,90,AR,1558556268,93,-54.81,-68.31,37.4,11.41
32,Hofn,90,IS,1558556269,87,64.25,-15.21,44.6,8.05
33,Dunedin,56,NZ,1558556270,66,-45.87,170.5,54.0,11.01
34,Vaini,83,IN,1558556272,92,15.34,74.49,77.83,1.92
35,Mount Isa,0,AU,1558556273,52,-20.73,139.49,66.2,4.7
36,Port Alfred,0,ZA,1558556274,70,-33.59,26.89,55.99,3.0
37,Severo-Kurilsk,100,RU,1558556275,94,50.68,156.12,40.75,32.7
38,East London,0,ZA,1558556277,86,-33.02,27.91,53.89,3.83
39,Jamestown,0,AU,1558556278,61,-33.21,138.6,59.11,5.97
40,Chuy,60,UY,1558556279,71,-33.69,-53.46,63.07,13.42
41,Tiksi,0,RU,1558556281,91,71.64,128.87,25.27,7.83
42,Lovozero,25,RU,1558556282,73,68.01,35.02,31.21,8.84
43,Tucuman,17,PE,1558556284,39,-17.17,-70.89,64.15,5.19
44,Shubarkuduk,44,KZ,1558556285,41,49.15,56.49,56.77,13.62
45,Atuona,21,PF,1558556109,75,-9.8,-139.03,82.33,11.7
46,Hinton,100,CA,1558556288,40,53.4,-117.57,60.01,6.71
47,Teguise,40,ES,1558556289,68,29.06,-13.56,69.8,21.92
48,Nikolskoye,20,RU,1558556291,82,59.7,30.79,60.8,2.24
49,Jalu,100,LY,1558556292,22,29.03,21.55,89.71,14.94
50,Rikitea,35,PF,1558556293,73,-23.12,-134.97,75.85,10.89
51,Lagoa,0,PT,1558556295,60,37.14,-8.45,71.6,4.7
52,Tairua,0,NZ,1558556296,91,-37.02,175.85,53.01,5.01
53,Clyde River,20,CA,1558556297,100,70.47,-68.59,28.4,9.17
54,Grindavik,75,IS,1558556298,76,63.84,-22.43,51.8,9.17
55,Sayyan,100,YE,1558556300,55,15.17,44.32,71.71,1.25
56,Manokwari,100,ID,1558556301,82,-0.87,134.08,74.05,2.8
57,Vestmannaeyjar,2,IS,1558556302,85,63.44,-20.27,48.49,5.46
58,Turayf,0,SA,1558556303,20,31.68,38.65,82.4,4.7
59,Ratnagiri,14,IN,1558556305,83,16.98,73.3,83.95,14.61
60,Kralendijk,75,BQ,1558556169,66,12.15,-68.27,86.0,19.46
61,Maniitsoq,0,GL,1558556307,49,65.42,-52.9,49.39,10.0
62,Caravelas,6,BR,1558556309,78,-17.73,-39.27,77.65,5.82
63,Qaanaaq,99,GL,1558556109,77,77.48,-69.36,28.87,4.36
64,Poum,0,MK,1558556311,86,41.28,20.71,43.81,3.22
65,Faya,40,SA,1558556312,72,18.39,42.45,62.6,1.88
66,Punta Arenas,90,CL,1558556314,100,-53.16,-70.91,46.4,5.82
67,Arraial do Cabo,0,BR,1558556315,78,-22.97,-42.02,78.8,9.17
68,Alofi,75,NU,1558556316,83,-19.06,-169.92,77.0,14.99
